site,n_days,T_TEA_mean,T_Zhou_mean,Bias_T,Corr_T,Ratio_TEA_mean,Ratio_Zhou_mean,Ratio_Diff
AdelaideRiver,584,2.454,1.601,0.853,0.904,0.776,0.549,0.227
AliceSpringsMulga1,4187,0.57,0.237,0.333,0.878,2.489,0.403,2.085
AliceSpringsMulga2,340,0.736,0.243,0.492,0.598,2.244,0.391,1.852
AlpinePeatland,1895,1.242,0.819,0.423,0.88,1.117,0.398,0.719
Boyagin,2817,0.831,0.372,0.459,0.813,0.888,0.383,0.504
Calperum,5476,0.463,0.162,0.301,0.765,0.964,0.311,0.653
CapeTribulation,3227,2.347,1.352,0.995,0.778,0.699,0.397,0.302
Collie,829,1.116,0.52,0.596,0.778,0.726,0.345,0.381
CowBay,6047,1.815,1.075,0.74,0.588,0.648,0.393,0.255
CumberlandPlain,4185,1.473,0.817,0.656,0.811,0.815,0.429,0.385
DalyPasture,2077,1.774,1.192,0.581,0.949,0.89,0.563,0.327
DalyUncleared,6397,1.937,1.185,0.752,0.867,0.785,0.508,0.277
DigbyPlantation,1283,1.238,0.59,0.648,0.856,1.366,0.473,0.893
Emerald,935,0.573,0.346,0.226,0.911,0.619,0.337,0.282
FletcherviewTropicalRangeland,1266,1.287,0.733,0.554,0.826,0.808,0.468,0.34
FoggDam,997,2.36,1.526,0.833,0.752,0.615,0.389,0.226
GatumPasture,2133,1.069,0.347,0.722,0.674,1.302,0.361,0.94
Gingin,5006,1.203,0.671,0.532,0.746,0.804,0.461,0.343
GreatWesternWoodlands,4382,0.473,0.155,0.318,0.649,1.0,0.293,0.707
HowardSprings,8363,2.572,1.786,0.786,0.897,0.814,0.569,0.245
Litchfield,3405,2.428,1.579,0.849,0.678,0.791,0.524,0.267
Longreach,1963,0.65,0.335,0.315,0.913,1.063,0.321,0.742
Loxton,293,3.619,2.672,0.947,0.892,0.83,0.631,0.199
MyallValeA,414,0.839,0.413,0.426,0.855,0.669,0.311,0.358
MyallValeB,415,2.316,1.559,0.757,0.906,0.926,0.529,0.397
Otway,1239,0.662,0.799,-0.138,0.799,1.294,0.521,0.772
RedDirtMelonFarm,667,1.34,0.854,0.487,0.974,0.753,0.453,0.3
Ridgefield,3521,0.495,0.26,0.235,0.868,125.236,0.217,125.019
RiggsCreek,2384,0.949,0.566,0.383,0.894,0.799,0.465,0.334
RobsonCreek,4373,2.114,1.191,0.923,0.551,0.793,0.433,0.36
Samford,2769,1.431,0.958,0.474,0.916,0.814,0.53,0.284
SilverPlains,1853,1.221,0.609,0.611,0.859,0.987,0.425,0.562
SnowGum,386,1.851,1.425,0.426,0.847,0.788,0.53,0.258
SturtPlains,6039,0.783,0.461,0.322,0.9,0.696,0.339,0.357
TiTreeEast,3471,0.421,-303.125,303.546,0.194,1.205,0.194,1.011
Tumbarumba,7450,0.762,0.894,-0.132,0.73,0.914,0.369,0.545
WallabyCreek,1224,1.626,0.706,0.92,0.693,1.0,0.281,0.719
Warra,2515,1.633,0.56,1.073,0.77,1.683,0.313,1.37
Wellington,477,1.469,1.001,0.468,0.886,0.811,0.55,0.262
Whroo,3120,1.072,0.51,0.562,0.744,0.762,0.366,0.396
WombatStateForest1,3907,1.953,1.162,0.791,0.863,0.902,0.443,0.459
WombatStateForest2,269,1.634,1.058,0.576,0.896,0.855,0.491,0.364
Yanco,4101,0.647,0.341,0.307,0.812,0.851,0.286,0.565
YarramundiControl,2071,1.325,0.869,0.456,0.767,0.79,0.487,0.303
YarramundiIrrigated,2078,1.543,0.99,0.554,0.882,0.794,0.48,0.315
